Number of Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype
1,1950,12,EUTH,BREED
1,1960,5,EUTH,SPACE
1,1970,4,EUTH,BREED
1,1970,11,RELEASED,
1,2002,7,EUTH,TIME
1,2002,10,ADOPTION,
1,2003,3,DIED,IN KENNEL
1,2003,3,EUTH,MEDICAL
1,2003,7,EUTH,REQUESTED
1,2004,6,MISSING,
1,2005,1,DIED,IN KENNEL
1,2005,1,EUTH,BEHAV OBSV
1,2005,1,EUTH,TIME/SPACE
1,2005,2,RTO,
2,2005,3,,
9,2005,3,ADOPTION,
4,2005,3,ADOPTION,NEW
19,2005,3,ADOPTION,RESCUE GRP
1,2005,3,DIED,ENROUTE
2,2005,3,DIED,IN KENNEL
11,2005,3,EUTH,
6,2005,3,EUTH,BEHAV HIST
22,2005,3,EUTH,BEHAV OBSV
61,2005,3,EUTH,BREED
1,2005,3,EUTH,CONTAG DIS
14,2005,3,EUTH,FERAL
39,2005,3,EUTH,MEDICAL
54,2005,3,EUTH,SPACE
2,2005,3,EUTH,TIME
2,2005,3,EUTH,TIME/SPACE
8,2005,3,EUTH,TOO OLD
2,2005,3,EUTH,TOO YOUNG
1,2005,3,MISSING,IN KENNEL
4,2005,3,RELOCATE,
63,2005,3,RTO,
2,2005,3,TRANSFER,
15,2005,4,ADOPTION,
4,2005,4,ADOPTION,NEW
61,2005,4,ADOPTION,RESCUE GRP
2,2005,4,DIED,
1,2005,4,DIED,ENROUTE
4,2005,4,DIED,IN KENNEL
1,2005,4,EUTH,
15,2005,4,EUTH,BEHAV HIST
26,2005,4,EUTH,BEHAV OBSV
110,2005,4,EUTH,BREED
1,2005,4,EUTH,CONTAG DIS
8,2005,4,EUTH,FERAL
1,2005,4,EUTH,HEARTWORM
67,2005,4,EUTH,MEDICAL
2,2005,4,EUTH,PREGNANT
255,2005,4,EUTH,SPACE
9,2005,4,EUTH,TIME
4,2005,4,EUTH,TIME/SPACE
15,2005,4,EUTH,TOO OLD
3,2005,4,EUTH,TOO YOUNG
1,2005,4,LOST EXP,
2,2005,4,MISSING,IN KENNEL
4,2005,4,RELOCATE,
110,2005,4,RTO,
27,2005,5,ADOPTION,
3,2005,5,ADOPTION,NEW
54,2005,5,ADOPTION,RESCUE GRP
2,2005,5,DIED,
6,2005,5,DIED,IN KENNEL
9,2005,5,EUTH,
24,2005,5,EUTH,BEHAV HIST
15,2005,5,EUTH,BEHAV OBSV
113,2005,5,EUTH,BREED
60,2005,5,EUTH,FERAL
135,2005,5,EUTH,MEDICAL
176,2005,5,EUTH,SPACE
8,2005,5,EUTH,TIME
8,2005,5,EUTH,TIME/SPACE
13,2005,5,EUTH,TOO OLD
4,2005,5,EUTH,TOO YOUNG
1,2005,5,LOST EXP,
1,2005,5,MISSING,
12,2005,5,RELOCATE,
90,2005,5,RTO,
1,2005,5,TRANSFER,
1,2005,5,TRANSFER,AN CONTROL
35,2005,6,ADOPTION,
1,2005,6,ADOPTION,REFERRAL
31,2005,6,ADOPTION,RESCUE GRP
1,2005,6,ADOPTION,WALK IN
1,2005,6,DIED,
3,2005,6,DIED,ENROUTE
9,2005,6,DIED,IN KENNEL
14,2005,6,EUTH,
22,2005,6,EUTH,BEHAV HIST
21,2005,6,EUTH,BEHAV OBSV
116,2005,6,EUTH,BREED
1,2005,6,EUTH,CONTAG DIS
125,2005,6,EUTH,FERAL
120,2005,6,EUTH,MEDICAL
182,2005,6,EUTH,SPACE
2,2005,6,EUTH,TIME
8,2005,6,EUTH,TIME/SPACE
11,2005,6,EUTH,TOO OLD
14,2005,6,EUTH,TOO YOUNG
1,2005,6,MISSING,
35,2005,6,RELOCATE,
83,2005,6,RTO,
6,2005,6,TRANSFER,
2,2005,7,,
1,2005,7,,RESCUE GRP
